Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
The Green Hornet,2011,PG-13,14-Jan-11,119 min,5.8/10,44%,39/100,39,5.8,162350,tt0990407,98780042,33526876,3584,Low,1,220.223,303.363,46184157.35,tt0990407
Epic,2013,PG,24-May-13,102 min,6.6/10,64%,52/100,52,6.6,107265,tt0848537,107518682,33531068,3882,Medium,5,232.945,303.363,43667326.54,tt0848537
What Women Want,2000,PG-13,15-Dec-00,127 min,6.4/10,54%,47/100,47,6.4,213378,tt0207201,182811707,33614543,3012,Low,12,174,303.363,58605796.6,tt0207201
The Proposal,2009,PG-13,19-Jun-09,108 min,6.7/10,45%,48/100,48,6.7,337578,tt1041829,163958031,33627598,3056,Low,6,215.693,303.363,47295781.56,tt1041829
Think Like a Man,2012,PG-13,20-Apr-12,122 min,6.5/10,54%,51/100,51,6.5,48797,tt1621045,91547205,33636303,2015,Medium,4,230.085,303.363,44348870.14,tt1621045
Get Hard,2015,R,27-Mar-15,100 min,6.0/10,28%,34/100,34,6,140940,tt2561572,90411453,33803253,3175,Low,3,236.119,303.363,43430034.18,tt2561572
Cloudy with a Chance of Meatballs 2,2013,PG,27-Sep-13,95 min,6.3/10,71%,59/100,59,6.3,108038,tt1985966,119793567,34017930,4001,Medium,9,234.149,303.363,44073565.54,tt1985966
Lethal Weapon 4,1998,R,10-Jul-98,127 min,6.6/10,52%,37/100,37,6.6,167108,tt0122151,130444603,34048124,3117,Low,7,163.2,303.363,63290079.91,tt0122151
Puss in Boots,2011,PG,28-Oct-11,90 min,6.6/10,86%,65/100,65,6.6,179687,tt0448694,149260504,34077439,3952,Medium,10,226.421,303.363,45657576.49,tt0448694
The Lego Movie 2: The Second Part,2019,PG,8-Feb-19,107 min,6.6/10,84%,65/100,65,6.6,69831,tt3513498,105956290,34115335,4303,Medium,2,252.776,303.363,40942693.81,tt3513498
The Blind Side,2009,PG-13,20-Nov-09,129 min,7.6/10,66%,53/100,53,7.6,341369,tt0878804,255982860,34119372,3110,Medium,11,216.33,303.363,47846138.07,tt0878804
The Equalizer,2014,R,26-Sep-14,132 min,7.2/10,60%,57/100,57,7.2,382940,tt0455944,101530738,34137828,3236,Medium,9,238.031,303.363,43507584.79,tt0455944
Norbit,2007,PG-13,9-Feb-07,102 min,4.1/10,9%,27/100,27,4.1,76219,tt0477051,95673607,34195434,3136,Low,2,203.499,303.363,50976316.56,tt0477051
Ransom,1996,R,8-Nov-96,121 min,6.7/10,74%,60/100,60,6.7,131089,tt0117438,136492681,34216088,2676,Medium,11,158.6,303.363,65447005.7,tt0117438
Tarzan,1999,G,18-Jun-99,88 min,7.3/10,89%,79/100,79,7.3,234135,tt0120855,171091819,34221968,3005,High,6,166.2,303.363,62464975.2,tt0120855
I Now Pronounce You Chuck & Larry,2007,PG-13,20-Jul-07,115 min,5.9/10,?,37/100,37,5.9,150022,tt0762107,120059556,34233750,3495,Low,7,208.299,303.363,49857431.39,tt0762107
Sausage Party,2016,R,12-Aug-16,89 min,6.1/10,82%,66/100,66,6.1,200305,tt1700841,97685686,34263534,3103,Medium,8,240.849,303.363,43156867.85,tt1700841
Couples Retreat,2009,PG-13,9-Oct-09,113 min,5.5/10,10%,23/100,23,5.5,111310,tt1078940,109204945,34286740,3000,Low,10,216.177,303.363,48114870.25,tt1078940
Enchanted,2007,PG,21-Nov-07,107 min,7.1/10,?,75/100,75,7.1,209754,tt0461770,127807262,34440317,3730,Medium,11,210.177,303.363,49710091.43,tt0461770
Identity Thief,2013,R,8-Feb-13,111 min,5.7/10,19%,35/100,35,5.7,136298,tt2024432,134506920,34551025,3141,Low,2,232.166,303.363,45146587.34,tt2024432
The Magnificent Seven,2016,PG-13,23-Sep-16,132 min,6.8/10,63%,54/100,54,6.8,218416,tt2404435,93432655,34703397,3674,Medium,9,241.428,303.363,43606071.48,tt2404435
Scream 3,2000,R,4-Feb-00,116 min,5.6/10,41%,56/100,56,5.6,152830,tt0134084,89143175,34713342,3467,Medium,2,169.8,303.363,62018513.36,tt0134084
Gladiator,2000,R,5-May-00,155 min,8.5/10,80%,67/100,67,8.5,1530546,tt0172495,187705427,34819017,2938,Medium,5,171.5,303.363,61590679.03,tt0172495
The Expendables,2010,R,13-Aug-10,103 min,6.4/10,?,45/100,45,6.4,352415,tt1320253,103068524,34825135,3270,Low,8,218.312,303.363,48392472.37,tt1320253
Mamma Mia! Here We Go Again,2018,PG-13,20-Jul-18,114 min,6.6/10,79%,60/100,60,6.6,100046,tt6911608,120634935,34952180,3317,Medium,7,252.006,303.363,42075181.47,tt6911608
Annabelle: Creation,2017,R,11-Aug-17,109 min,6.5/10,70%,62/100,62,6.5,140442,tt5140878,102092201,35006404,3502,Medium,8,245.519,303.363,43253873.37,tt5140878
Jungle Cruise,2021,PG-13,30-Jul-21,127 min,6.6/10,62%,50/100,50,6.6,198205,tt0870154,116987516,35018731,4310,Low,7,273.003,303.363,38913078.95,tt0870154
Sully,2016,PG-13,9-Sep-16,96 min,7.4/10,85%,74/100,74,7.4,281426,tt3263904,125070033,35028301,3525,Medium,9,241.428,303.363,44014325.08,tt3263904
Runaway Bride,1999,PG,30-Jul-99,116 min,5.6/10,46%,39/100,39,5.6,100886,tt0163187,152257509,35055556,3158,Low,7,166.7,303.363,63794592.89,tt0163187
National Treasure,2004,PG,19-Nov-04,131 min,6.9/10,46%,40/100,40,6.9,341622,tt0368891,173008894,35142554,3017,Low,11,191,303.363,55816495.34,tt0368891
Ride Along 2,2016,PG-13,15-Jan-16,102 min,5.9/10,14%,32/100,32,5.9,60767,tt2869728,91221830,35243095,3175,Low,1,236.916,303.363,45127602.31,tt2869728
Sing,2016,PG,21-Dec-16,108 min,7.1/10,71%,59/100,59,7.1,177848,tt3470600,270578425,35258145,4022,Medium,12,241.432,303.363,44302398.36,tt3470600
Lilo & Stitch,2002,PG,21-Jun-02,85 min,7.3/10,87%,73/100,73,7.3,198705,tt0275847,145794338,35260212,3191,Medium,6,179.9,303.363,59458830.98,tt0275847
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,3-Jun-16,112 min,5.9/10,37%,40/100,40,5.9,95791,tt3949660,82051601,35316382,4071,Low,6,241.018,303.363,44451798.59,tt3949660
Spider-Man: Into the Spider-Verse,2018,PG,14-Dec-18,117 min,8.4/10,97%,87/100,87,8.4,552354,tt4633694,190241310,35363376,3813,High,12,251.233,303.363,42701157.23,tt4633694
Super 8,2011,PG-13,10-Jun-11,112 min,7.0/10,81%,72/100,72,7,360031,tt1650062,127004179,35451168,3379,Medium,6,225.722,303.363,47645212.6,tt1650062
The World Is Not Enough,1999,PG-13,19-Nov-99,128 min,6.4/10,51%,57/100,57,6.4,204568,tt0143145,126943684,35519007,3163,Medium,11,168.3,303.363,64023484.97,tt0143145
Central Intelligence,2016,PG-13,17-Jun-16,107 min,6.3/10,71%,52/100,52,6.3,198858,tt1489889,127440871,35535250,3508,Medium,6,241.018,303.363,44727281.97,tt1489889
The Other Guys,2010,PG-13,6-Aug-10,107 min,6.6/10,79%,64/100,64,6.6,276194,tt1386588,119219978,35543162,3651,Medium,8,218.312,303.363,49390231.66,tt1386588
Battle Los Angeles,2011,PG-13,11-Mar-11,116 min,5.7/10,37%,37/100,37,5.7,182351,tt1217613,83552429,35573187,3417,Low,3,223.467,303.363,48291643.63,tt1217613
Creed II,2018,PG-13,21-Nov-18,130 min,7.1/10,83%,66/100,66,7.1,143196,tt6343314,115715889,35574710,3441,Medium,11,252.038,303.363,42819141.36,tt6343314
The Smurfs,2011,PG,29-Jul-11,103 min,5.4/10,21%,30/100,30,5.4,92883,tt0472181,142614158,35611637,3395,Low,7,225.922,303.363,47818508.31,tt0472181
Sweet Home Alabama,2002,PG-13,27-Sep-02,108 min,6.2/10,38%,45/100,45,6.2,117474,tt0256415,127223418,35648740,3293,Low,9,181,303.363,59748666.92,tt0256415
Minority Report,2002,PG-13,21-Jun-02,145 min,7.6/10,90%,80/100,80,7.6,563827,tt0181689,132072926,35677125,3001,High,6,179.9,303.363,60161865.88,tt0181689
Rampage,2018,PG-13,13-Apr-18,107 min,6.1/10,51%,45/100,45,6.1,174614,tt2231461,101028233,35753093,4101,Low,4,250.546,303.363,43290116.59,tt2231461
10^000 BC,2008,PG-13,7-Mar-08,109 min,5.1/10,9%,34/100,34,5.1,133142,tt0443649,94784201,35867488,3410,Low,3,213.528,303.363,50957573.54,tt0443649
Salt,2010,PG-13,23-Jul-10,100 min,6.4/10,62%,65/100,65,6.4,320766,tt0944835,118311368,36011243,3612,Medium,7,218.011,303.363,50109759.19,tt0944835
The Equalizer 2,2018,R,20-Jul-18,121 min,6.7/10,52%,50/100,50,6.7,167543,tt3766354,102084362,36011640,3388,Low,7,252.006,303.363,43350551.75,tt3766354
Robots,2005,PG,11-Mar-05,91 min,6.4/10,64%,64/100,64,6.4,152723,tt0358082,128200012,36045301,3776,Medium,3,193.3,303.363,56569118.71,tt0358082
Robin Hood,2010,PG-13,14-May-10,140 min,6.6/10,43%,53/100,53,6.6,274777,tt0955308,105269730,36063385,3503,Medium,5,218.178,303.363,50143903.89,tt0955308
The Scorpion King,2002,PG-13,19-Apr-02,92 min,5.5/10,41%,45/100,45,5.5,141496,tt0277296,91047077,36075875,3444,Low,4,179.8,303.363,60868107.16,tt0277296
